missing_prerequisite,historical_run_id,base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version,historical_note
ExtUtils::Depends,022859,perl:5.36,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,,Dependency version Gtk2 0.24 requested; Missing prerequisite: ExtUtils::Depends
ExtUtils::Depends,022878,perl:5.38,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,,Dependency version Gtk2 0.24 requested; Missing prerequisite: ExtUtils::Depends
ExtUtils::Depends,022897,perl:5.40,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,,Dependency version Gtk2 0.24 requested; Missing prerequisite: ExtUtils::Depends
ExtUtils::Depends,022916,perl:5.42,vary-one,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,Gtk2,0.24,,,Dependency version Gtk2 0.24 requested; Missing prerequisite: ExtUtils::Depends
IO::File::Cached,009538,perl:5.34,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,,Dependency version Config::Record v1.0.0 requested; Missing prerequisite: IO::File::Cached
IO::File::Cached,009557,perl:5.36,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,,Dependency version Config::Record v1.0.0 requested; Missing prerequisite: IO::File::Cached
IO::File::Cached,009576,perl:5.38,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,,Dependency version Config::Record v1.0.0 requested; Missing prerequisite: IO::File::Cached
IO::File::Cached,009595,perl:5.40,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,,Dependency version Config::Record v1.0.0 requested; Missing prerequisite: IO::File::Cached
IO::File::Cached,009614,perl:5.42,vary-one,Test::AutoBuild::Stage::CleanBuildRoots,v1.2.4,Config::Record,v1.0.0,,,Dependency version Config::Record v1.0.0 requested; Missing prerequisite: IO::File::Cached
MD5,012725,perl:5.34,vary-one,App::MonM::Channel::File,1.09,LWP,5,,,Dependency version LWP 5 requested; Missing prerequisite: MD5
MD5,012744,perl:5.36,vary-one,App::MonM::Channel::File,1.09,LWP,5,,,Dependency version LWP 5 requested; Missing prerequisite: MD5
MD5,012763,perl:5.38,vary-one,App::MonM::Channel::File,1.09,LWP,5,,,"Dependency version LWP 5 requested; MiniCPAN missing requested release; live CPAN retry returned rc=1; Missing prerequisite: MD5; unavailable exact release: requested LWP@5; CPAN index offered LWP 6.83, not requested version 5"
MD5,012782,perl:5.40,vary-one,App::MonM::Channel::File,1.09,LWP,5,,,Dependency version LWP 5 requested; Missing prerequisite: MD5
MD5,012801,perl:5.42,vary-one,App::MonM::Channel::File,1.09,LWP,5,,,Dependency version LWP 5 requested; Missing prerequisite: MD5
Module::Build::IkiWiki,025341,perl:5.34,baseline,IkiWiki::Plugin::syntax,0.25,,,,,Missing prerequisite: Module::Build::IkiWiki
Module::Build::IkiWiki,025360,perl:5.36,baseline,IkiWiki::Plugin::syntax,0.25,,,,,Missing prerequisite: Module::Build::IkiWiki
Module::Build::IkiWiki,025379,perl:5.38,baseline,IkiWiki::Plugin::syntax,0.25,,,,,Missing prerequisite: Module::Build::IkiWiki
Module::Build::IkiWiki,025398,perl:5.40,baseline,IkiWiki::Plugin::syntax,0.25,,,,,Missing prerequisite: Module::Build::IkiWiki
Module::Build::IkiWiki,025417,perl:5.42,baseline,IkiWiki::Plugin::syntax,0.25,,,,,Missing prerequisite: Module::Build::IkiWiki
URI::Escape,031813,perl:5.34,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,,Dependency version Pod::Markdown 0.01 requested; Missing prerequisite: URI::Escape
URI::Escape,031832,perl:5.36,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,,Dependency version Pod::Markdown 0.01 requested; Missing prerequisite: URI::Escape
URI::Escape,031851,perl:5.38,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,,Dependency version Pod::Markdown 0.01 requested; Missing prerequisite: URI::Escape
URI::Escape,031870,perl:5.40,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,,Dependency version Pod::Markdown 0.01 requested; Missing prerequisite: URI::Escape
URI::Escape,031889,perl:5.42,vary-one,App::Prove::Plugin::Test::OnlySomeP::Formatter,0.001005,Pod::Markdown,0.01,,,Dependency version Pod::Markdown 0.01 requested; Missing prerequisite: URI::Escape
inc::Module::Install,018855,perl:5.34,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,,Dependency version Geo::Coordinates::Converter 0.01 requested; Missing prerequisite: inc::Module::Install
inc::Module::Install,018874,perl:5.36,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,,Dependency version Geo::Coordinates::Converter 0.01 requested; Missing prerequisite: inc::Module::Install
inc::Module::Install,018893,perl:5.38,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,,Dependency version Geo::Coordinates::Converter 0.01 requested; Missing prerequisite: inc::Module::Install
inc::Module::Install,018912,perl:5.40,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,,Dependency version Geo::Coordinates::Converter 0.01 requested; Missing prerequisite: inc::Module::Install
inc::Module::Install,018931,perl:5.42,vary-one,HTTP::MobileAttribute::Plugin::Locator::EZweb::GPS,0.23,Geo::Coordinates::Converter,0.01,,,Dependency version Geo::Coordinates::Converter 0.01 requested; Missing prerequisite: inc::Module::Install
