base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Language::Prolog::Yaswi,0.23,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Language::Prolog::Yaswi,0.23,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Language::Prolog::Yaswi,0.23,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Language::Prolog::Yaswi,0.23,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Language::Prolog::Yaswi,0.23,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Test::Most,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Test::Most,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Test::Most,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Test::Most,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Test::Most,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Net::SSLeay,1.32,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Net::SSLeay,1.32,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Net::SSLeay,1.32,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Net::SSLeay,1.32,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Net::SSLeay,1.32,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL3::X509::Attribute,0.010,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL3::X509::Attribute,0.010,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL3::X509::Attribute,0.010,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL3::X509::Attribute,0.010,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL3::X509::Attribute,0.010,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Gtk::Object,0.7010,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Gtk::Object,0.7010,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Gtk::Object,0.7010,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Gtk::Object,0.7010,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Gtk::Object,0.7010,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Wx,0.07,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Wx,0.07,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Wx,0.07,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Wx,0.07,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Wx,0.07,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Wx,0.9932,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Wx,0.9932,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Wx,0.9932,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Wx,0.9932,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Wx,0.9932,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Catmandu::Z3950,0.06,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Catmandu::Z3950,0.06,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Catmandu::Z3950,0.06,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Catmandu::Z3950,0.06,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Catmandu::Z3950,0.06,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Test::OpenLDAP,0.72,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Test::OpenLDAP,0.72,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Test::OpenLDAP,0.72,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Test::OpenLDAP,0.72,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Test::OpenLDAP,0.72,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Padre::Wx::Panel::FindFast,1.02,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Padre::Wx::Panel::FindFast,1.02,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Padre::Wx::Panel::FindFast,1.02,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Padre::Wx::Panel::FindFast,1.02,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Padre::Wx::Panel::FindFast,1.02,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappMenu,0.60,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,MyCPAN::Indexer::NullTester::Dispatcher,1.282,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,MyCPAN::Indexer::NullTester::Dispatcher,1.282,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,MyCPAN::Indexer::NullTester::Dispatcher,1.282,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,MyCPAN::Indexer::NullTester::Dispatcher,1.282,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,MyCPAN::Indexer::NullTester::Dispatcher,1.282,,
