base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.21,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.21,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.21,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.21,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.21,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.2,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.2,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.2,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.2,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Text::Trie,0.2,,
perl:5.34,vary-one,Lexical::Failure,0.001001,Test::Effects,0.000004,,
perl:5.36,vary-one,Lexical::Failure,0.001001,Test::Effects,0.000004,,
perl:5.38,vary-one,Lexical::Failure,0.001001,Test::Effects,0.000004,,
perl:5.40,vary-one,Lexical::Failure,0.001001,Test::Effects,0.000004,,
perl:5.42,vary-one,Lexical::Failure,0.001001,Test::Effects,0.000004,,
perl:5.34,vary-one,App::SeismicUnixGui::specs::data::wptuncomp_spec,v0.87.6,Tk::JFileDialog,1.00,,
perl:5.36,vary-one,App::SeismicUnixGui::specs::data::wptuncomp_spec,v0.87.6,Tk::JFileDialog,1.00,,
perl:5.38,vary-one,App::SeismicUnixGui::specs::data::wptuncomp_spec,v0.87.6,Tk::JFileDialog,1.00,,
perl:5.40,vary-one,App::SeismicUnixGui::specs::data::wptuncomp_spec,v0.87.6,Tk::JFileDialog,1.00,,
perl:5.42,vary-one,App::SeismicUnixGui::specs::data::wptuncomp_spec,v0.87.6,Tk::JFileDialog,1.00,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XLog,v1.1.3,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XLog,v1.1.3,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XLog,v1.1.3,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XLog,v1.1.3,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XLog,v1.1.3,,
perl:5.34,vary-one,Business::ISBN13,3.014,Business::ISBN::Data,1.02,,
perl:5.36,vary-one,Business::ISBN13,3.014,Business::ISBN::Data,1.02,,
perl:5.38,vary-one,Business::ISBN13,3.014,Business::ISBN::Data,1.02,,
