base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,MojoX::Linda,1.05,Mojo::Server::Morbo,7.09,,
perl:5.36,vary-one,MojoX::Linda,1.05,Mojo::Server::Morbo,7.09,,
perl:5.38,vary-one,MojoX::Linda,1.05,Mojo::Server::Morbo,7.09,,
perl:5.40,vary-one,MojoX::Linda,1.05,Mojo::Server::Morbo,7.09,,
perl:5.42,vary-one,MojoX::Linda,1.05,Mojo::Server::Morbo,7.09,,
perl:5.34,vary-one,App::BambooCli::Config,v0.0.1,Net::Bamboo,0.01,,
perl:5.36,vary-one,App::BambooCli::Config,v0.0.1,Net::Bamboo,0.01,,
perl:5.38,vary-one,App::BambooCli::Config,v0.0.1,Net::Bamboo,0.01,,
perl:5.40,vary-one,App::BambooCli::Config,v0.0.1,Net::Bamboo,0.01,,
perl:5.42,vary-one,App::BambooCli::Config,v0.0.1,Net::Bamboo,0.01,,
perl:5.34,vary-one,DBIx::SimpleMigration,v1.0.2,SQL::SplitStatement,0.01000,,
perl:5.36,vary-one,DBIx::SimpleMigration,v1.0.2,SQL::SplitStatement,0.01000,,
perl:5.38,vary-one,DBIx::SimpleMigration,v1.0.2,SQL::SplitStatement,0.01000,,
perl:5.40,vary-one,DBIx::SimpleMigration,v1.0.2,SQL::SplitStatement,0.01000,,
perl:5.42,vary-one,DBIx::SimpleMigration,v1.0.2,SQL::SplitStatement,0.01000,,
perl:5.34,vary-one,Test::Chimps::Report::Schema,0.07,Test::Dependencies,0.01,,
perl:5.36,vary-one,Test::Chimps::Report::Schema,0.07,Test::Dependencies,0.01,,
perl:5.38,vary-one,Test::Chimps::Report::Schema,0.07,Test::Dependencies,0.01,,
perl:5.40,vary-one,Test::Chimps::Report::Schema,0.07,Test::Dependencies,0.01,,
perl:5.42,vary-one,Test::Chimps::Report::Schema,0.07,Test::Dependencies,0.01,,
perl:5.34,vary-one,SRS::EPP::Message,0.22,MooseX::Daemonize,0.01,,
perl:5.36,vary-one,SRS::EPP::Message,0.22,MooseX::Daemonize,0.01,,
perl:5.38,vary-one,SRS::EPP::Message,0.22,MooseX::Daemonize,0.01,,
perl:5.40,vary-one,SRS::EPP::Message,0.22,MooseX::Daemonize,0.01,,
perl:5.42,vary-one,SRS::EPP::Message,0.22,MooseX::Daemonize,0.01,,
perl:5.34,vary-one,Bencher::Scenario::DateTimeFormatAlami::Parsing,0.004,DateTime,0.02,,
perl:5.36,vary-one,Bencher::Scenario::DateTimeFormatAlami::Parsing,0.004,DateTime,0.02,,
perl:5.38,vary-one,Bencher::Scenario::DateTimeFormatAlami::Parsing,0.004,DateTime,0.02,,
perl:5.40,vary-one,Bencher::Scenario::DateTimeFormatAlami::Parsing,0.004,DateTime,0.02,,
perl:5.42,vary-one,Bencher::Scenario::DateTimeFormatAlami::Parsing,0.004,DateTime,0.02,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,autovivification,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,autovivification,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,autovivification,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,autovivification,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,autovivification,0.01,,
perl:5.34,vary-one,HTML::TableParser,0.43,HTML::Parser,2.14,,
perl:5.36,vary-one,HTML::TableParser,0.43,HTML::Parser,2.14,,
perl:5.38,vary-one,HTML::TableParser,0.43,HTML::Parser,2.14,,
perl:5.40,vary-one,HTML::TableParser,0.43,HTML::Parser,2.14,,
perl:5.42,vary-one,HTML::TableParser,0.43,HTML::Parser,2.14,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.8,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.8,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.8,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.8,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.8,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.2,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.2,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.2,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.2,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Uplug,0.3.2,,
perl:5.34,vary-one,News::Newsrc,1.11,Set::IntSpan,1.00,,
perl:5.36,vary-one,News::Newsrc,1.11,Set::IntSpan,1.00,,
perl:5.38,vary-one,News::Newsrc,1.11,Set::IntSpan,1.00,,
perl:5.40,vary-one,News::Newsrc,1.11,Set::IntSpan,1.00,,
perl:5.42,vary-one,News::Newsrc,1.11,Set::IntSpan,1.00,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v1.1.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v1.1.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v1.1.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v1.1.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XS::libcatch,v1.1.0,,
