base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,WebService::Edgecast::auto::Administration::Element::CustomerStatusUpdateResponse,v0.01.00,SOAP::WSDL::XSD::Typelib::Builtin::short,0,,
perl:5.36,vary-one,WebService::Edgecast::auto::Administration::Element::CustomerStatusUpdateResponse,v0.01.00,SOAP::WSDL::XSD::Typelib::Builtin::short,0,,
perl:5.38,vary-one,WebService::Edgecast::auto::Administration::Element::CustomerStatusUpdateResponse,v0.01.00,SOAP::WSDL::XSD::Typelib::Builtin::short,0,,
perl:5.40,vary-one,WebService::Edgecast::auto::Administration::Element::CustomerStatusUpdateResponse,v0.01.00,SOAP::WSDL::XSD::Typelib::Builtin::short,0,,
perl:5.42,vary-one,WebService::Edgecast::auto::Administration::Element::CustomerStatusUpdateResponse,v0.01.00,SOAP::WSDL::XSD::Typelib::Builtin::short,0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,PPI,0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,PPI,0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,PPI,0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,PPI,0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,PPI,0.1,,
perl:5.34,vary-one,Test::Chimps::Report::Schema,0.07,HTML::Mason,0.1,,
perl:5.36,vary-one,Test::Chimps::Report::Schema,0.07,HTML::Mason,0.1,,
perl:5.38,vary-one,Test::Chimps::Report::Schema,0.07,HTML::Mason,0.1,,
perl:5.40,vary-one,Test::Chimps::Report::Schema,0.07,HTML::Mason,0.1,,
perl:5.42,vary-one,Test::Chimps::Report::Schema,0.07,HTML::Mason,0.1,,
perl:5.34,vary-one,Catmandu::Store::Solr,0.0304,CQL::Parser,0.2,,
perl:5.36,vary-one,Catmandu::Store::Solr,0.0304,CQL::Parser,0.2,,
perl:5.38,vary-one,Catmandu::Store::Solr,0.0304,CQL::Parser,0.2,,
perl:5.40,vary-one,Catmandu::Store::Solr,0.0304,CQL::Parser,0.2,,
perl:5.42,vary-one,Catmandu::Store::Solr,0.0304,CQL::Parser,0.2,,
perl:5.34,vary-one,UniEvent,v1.2.14,Net::SockAddr,v1.1.4,,
perl:5.36,vary-one,UniEvent,v1.2.14,Net::SockAddr,v1.1.4,,
perl:5.38,vary-one,UniEvent,v1.2.14,Net::SockAddr,v1.1.4,,
