base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Image::Resize,0.5,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Image::Resize,0.5,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Image::Resize,0.5,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Image::Resize,0.5,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Image::Resize,0.5,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,LWP,6.83,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,LWP,6.83,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,LWP,6.83,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,LWP,6.83,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,LWP,6.83,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,List::MoreUtils,0.430,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,List::MoreUtils,0.430,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,List::MoreUtils,0.430,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,List::MoreUtils,0.430,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,List::MoreUtils,0.430,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Plugin::Data::Sah::Coerce,0.001,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Plugin::Data::Sah::Coerce,0.001,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Plugin::Data::Sah::Coerce,0.001,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Plugin::Data::Sah::Coerce,0.001,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Plugin::Data::Sah::Coerce,0.001,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.06,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.06,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.06,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.06,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::AddTextToSection,0.06,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::Section,4.020,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::Section,4.020,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::Section,4.020,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::Section,4.020,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Pod::Weaver::Role::Section,4.020,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,SPVM::Regex,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,SPVM::Regex,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,SPVM::Regex,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,SPVM::Regex,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,SPVM::Regex,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Tie::Judy,0.05,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Tie::Judy,0.05,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Tie::Judy,0.05,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Tie::Judy,0.05,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Tie::Judy,0.05,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,UniEvent,v1.2.14,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,UniEvent,v1.2.14,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,UniEvent,v1.2.14,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,UniEvent,v1.2.14,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,UniEvent,v1.2.14,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1007,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1007,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1007,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1007,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1007,,
