base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1713,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1713,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1713,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1713,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Win32::OLE,0.1713,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::CopyHook::Veto,0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::CopyHook::Veto,0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::CopyHook::Veto,0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::CopyHook::Veto,0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::CopyHook::Veto,0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::QueryInfo::JpgSize,0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::QueryInfo::JpgSize,0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::QueryInfo::JpgSize,0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::QueryInfo::JpgSize,0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Win32::ShellExt::QueryInfo::JpgSize,0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.0.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.0.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.0.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.0.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XS::Install,v1.0.0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,ZMQ::LibZMQ4,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,ZMQ::LibZMQ4,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,ZMQ::LibZMQ4,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,ZMQ::LibZMQ4,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,ZMQ::LibZMQ4,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,JSON::Parse,0.05,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,JSON::Parse,0.05,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,JSON::Parse,0.05,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,JSON::Parse,0.05,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,JSON::Parse,0.05,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Tk::ListEntry,0.07,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Tk::ListEntry,0.07,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Tk::ListEntry,0.07,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Tk::ListEntry,0.07,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Tk::ListEntry,0.07,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.14,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.14,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.14,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.14,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Tk::PopList,0.14,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.74,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.74,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.74,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.74,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Net::SSH2,0.74,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Net::SSH2::Expect,0.2,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Net::SSH2::Expect,0.2,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Net::SSH2::Expect,0.2,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Net::SSH2::Expect,0.2,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Net::SSH2::Expect,0.2,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,WebService::Solr,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,WebService::Solr,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,WebService::Solr,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,WebService::Solr,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,WebService::Solr,0.01,,
