base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Padre::Wx::Panel::FindFast,1.02,threads,2.21,,
perl:5.36,vary-one,Padre::Wx::Panel::FindFast,1.02,threads,2.21,,
perl:5.38,vary-one,Padre::Wx::Panel::FindFast,1.02,threads,2.21,,
perl:5.40,vary-one,Padre::Wx::Panel::FindFast,1.02,threads,2.21,,
perl:5.42,vary-one,Padre::Wx::Panel::FindFast,1.02,threads,2.21,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,CGI::Session::Serialize::yaml,4.26,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,CGI::Session::Serialize::yaml,4.26,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,CGI::Session::Serialize::yaml,4.26,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,CGI::Session::Serialize::yaml,4.26,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,CGI::Session::Serialize::yaml,4.26,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Catalyst::Plugin::ConfigLoader,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Catalyst::Plugin::ConfigLoader,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Catalyst::Plugin::ConfigLoader,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Catalyst::Plugin::ConfigLoader,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Catalyst::Plugin::ConfigLoader,0.01,,
perl:5.34,vary-one,Moose::Exception::RequiredMethodsImportedByClass,2.4,Devel::GlobalDestruction,0.01,,
perl:5.36,vary-one,Moose::Exception::RequiredMethodsImportedByClass,2.4,Devel::GlobalDestruction,0.01,,
perl:5.38,vary-one,Moose::Exception::RequiredMethodsImportedByClass,2.4,Devel::GlobalDestruction,0.01,,
perl:5.40,vary-one,Moose::Exception::RequiredMethodsImportedByClass,2.4,Devel::GlobalDestruction,0.01,,
perl:5.42,vary-one,Moose::Exception::RequiredMethodsImportedByClass,2.4,Devel::GlobalDestruction,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,7.17,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,7.17,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,7.17,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,7.17,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,7.17,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,AnyEvent::Socket,0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,HPCI,0.75,,
