base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Unicode::Emoji::Base,0.03,Any::Moose,0.01,,
perl:5.36,vary-one,Unicode::Emoji::Base,0.03,Any::Moose,0.01,,
perl:5.38,vary-one,Unicode::Emoji::Base,0.03,Any::Moose,0.01,,
perl:5.40,vary-one,Unicode::Emoji::Base,0.03,Any::Moose,0.01,,
perl:5.42,vary-one,Unicode::Emoji::Base,0.03,Any::Moose,0.01,,
perl:5.34,vary-one,Bio::Chado::Schema::Result::Cv::CommonAncestorCvterm,0.20000,Carp::Clan,5.1,,
perl:5.36,vary-one,Bio::Chado::Schema::Result::Cv::CommonAncestorCvterm,0.20000,Carp::Clan,5.1,,
perl:5.38,vary-one,Bio::Chado::Schema::Result::Cv::CommonAncestorCvterm,0.20000,Carp::Clan,5.1,,
perl:5.40,vary-one,Bio::Chado::Schema::Result::Cv::CommonAncestorCvterm,0.20000,Carp::Clan,5.1,,
perl:5.42,vary-one,Bio::Chado::Schema::Result::Cv::CommonAncestorCvterm,0.20000,Carp::Clan,5.1,,
perl:5.34,vary-one,Quiq::Html::Widget::CheckBox,1.238,Image::ExifTool,3.60,,
perl:5.36,vary-one,Quiq::Html::Widget::CheckBox,1.238,Image::ExifTool,3.60,,
perl:5.38,vary-one,Quiq::Html::Widget::CheckBox,1.238,Image::ExifTool,3.60,,
perl:5.40,vary-one,Quiq::Html::Widget::CheckBox,1.238,Image::ExifTool,3.60,,
perl:5.42,vary-one,Quiq::Html::Widget::CheckBox,1.238,Image::ExifTool,3.60,,
perl:5.34,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.41,,
perl:5.36,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.41,,
perl:5.38,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.41,,
perl:5.40,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.41,,
perl:5.42,vary-one,Metabrik::System::Kali::User,1.44,Metabrik,1.41,,
perl:5.34,vary-one,Juno::Check::RawCommand,0.010,MooX::Types::MooseLike,0.01,,
perl:5.36,vary-one,Juno::Check::RawCommand,0.010,MooX::Types::MooseLike,0.01,,
perl:5.38,vary-one,Juno::Check::RawCommand,0.010,MooX::Types::MooseLike,0.01,,
perl:5.40,vary-one,Juno::Check::RawCommand,0.010,MooX::Types::MooseLike,0.01,,
perl:5.42,vary-one,Juno::Check::RawCommand,0.010,MooX::Types::MooseLike,0.01,,
perl:5.34,vary-one,Pod::Spelling::Aspell,0.23,Pod::POM,0.1,,
perl:5.36,vary-one,Pod::Spelling::Aspell,0.23,Pod::POM,0.1,,
perl:5.38,vary-one,Pod::Spelling::Aspell,0.23,Pod::POM,0.1,,
perl:5.40,vary-one,Pod::Spelling::Aspell,0.23,Pod::POM,0.1,,
perl:5.42,vary-one,Pod::Spelling::Aspell,0.23,Pod::POM,0.1,,
perl:5.34,vary-one,Locales::DB::Loadable,0.34,Test::Carp,0.1,,
perl:5.36,vary-one,Locales::DB::Loadable,0.34,Test::Carp,0.1,,
perl:5.38,vary-one,Locales::DB::Loadable,0.34,Test::Carp,0.1,,
perl:5.40,vary-one,Locales::DB::Loadable,0.34,Test::Carp,0.1,,
perl:5.42,vary-one,Locales::DB::Loadable,0.34,Test::Carp,0.1,,
perl:5.34,vary-one,XML::Descent,1.04,Test::Differences,0.2,,
perl:5.36,vary-one,XML::Descent,1.04,Test::Differences,0.2,,
perl:5.38,vary-one,XML::Descent,1.04,Test::Differences,0.2,,
perl:5.40,vary-one,XML::Descent,1.04,Test::Differences,0.2,,
perl:5.42,vary-one,XML::Descent,1.04,Test::Differences,0.2,,
perl:5.34,vary-one,WWW::MailboxOrg::API::Mail,0.100,Type::Library,0.001,,
perl:5.36,vary-one,WWW::MailboxOrg::API::Mail,0.100,Type::Library,0.001,,
perl:5.38,vary-one,WWW::MailboxOrg::API::Mail,0.100,Type::Library,0.001,,
perl:5.40,vary-one,WWW::MailboxOrg::API::Mail,0.100,Type::Library,0.001,,
perl:5.42,vary-one,WWW::MailboxOrg::API::Mail,0.100,Type::Library,0.001,,
perl:5.34,vary-one,XML::Descent,1.04,XML::TokeParser,0.01,,
perl:5.36,vary-one,XML::Descent,1.04,XML::TokeParser,0.01,,
perl:5.38,vary-one,XML::Descent,1.04,XML::TokeParser,0.01,,
perl:5.40,vary-one,XML::Descent,1.04,XML::TokeParser,0.01,,
perl:5.42,vary-one,XML::Descent,1.04,XML::TokeParser,0.01,,
