base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Protocol::Database::PostgreSQL::Backend::ErrorResponse,2.001,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Protocol::Database::PostgreSQL::Backend::ErrorResponse,2.001,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Protocol::Database::PostgreSQL::Backend::ErrorResponse,2.001,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Protocol::Database::PostgreSQL::Backend::ErrorResponse,2.001,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Protocol::Database::PostgreSQL::Backend::ErrorResponse,2.001,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Set::Object,0.001,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Set::Object,0.001,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Set::Object,0.001,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Set::Object,0.001,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Set::Object,0.001,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.0.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.0.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.0.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.0.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.0.0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.2.3,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.2.3,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.2.3,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.2.3,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,UniEvent::HTTP,v1.2.3,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.03,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.03,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.03,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.03,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Wx::Perl::ListCtrl,0.03,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XML::LibXSLT,0.94,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XML::LibXSLT,0.94,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XML::LibXSLT,0.94,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XML::LibXSLT,0.94,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XML::LibXSLT,0.94,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Redmine::Stat,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Redmine::Stat,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Redmine::Stat,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Redmine::Stat,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Redmine::Stat,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,WebService::Braintree::MultipleValuesNode,1.7,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,WebService::Braintree::MultipleValuesNode,1.7,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,WebService::Braintree::MultipleValuesNode,1.7,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,WebService::Braintree::MultipleValuesNode,1.7,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,WebService::Braintree::MultipleValuesNode,1.7,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Apache::Singleton::Request,0.17,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Apache::Singleton::Request,0.17,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Apache::Singleton::Request,0.17,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Apache::Singleton::Request,0.17,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Apache::Singleton::Request,0.17,,
