base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappTextView,0.60,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappTextView,0.60,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappTextView,0.60,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappTextView,0.60,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Gapp::Moose::Meta::Attribute::Trait::GappTextView,0.60,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,JSON::Schema::AsType::Draft7,v1.0.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,JSON::Schema::AsType::Draft7,v1.0.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,JSON::Schema::AsType::Draft7,v1.0.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,JSON::Schema::AsType::Draft7,v1.0.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,JSON::Schema::AsType::Draft7,v1.0.0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Devel::Caller,0.02,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Devel::Caller,0.02,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Devel::Caller,0.02,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Devel::Caller,0.02,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Devel::Caller,0.02,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,2.03,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,2.03,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,2.03,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,2.03,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,2.03,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Image::Imlib2,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Switch::Plain,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Switch::Plain,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Switch::Plain,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Switch::Plain,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Switch::Plain,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,threads,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,threads,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,threads,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,threads,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,threads,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Config::Model::SimpleUI,2.166,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Config::Model::SimpleUI,2.166,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Config::Model::SimpleUI,2.166,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Config::Model::SimpleUI,2.166,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Config::Model::SimpleUI,2.166,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.002,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.002,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.002,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.002,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.002,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.001,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.001,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.001,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.001,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Alien::SWIProlog,0.001,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.38,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.38,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.38,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.38,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.38,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.35,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.35,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.35,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.35,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Archive::Extract::Libarchive,0.35,,
