base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Catmandu::Z3950,0.06,ZOOM,0.01,,
perl:5.36,vary-one,Catmandu::Z3950,0.06,ZOOM,0.01,,
perl:5.38,vary-one,Catmandu::Z3950,0.06,ZOOM,0.01,,
perl:5.40,vary-one,Catmandu::Z3950,0.06,ZOOM,0.01,,
perl:5.42,vary-one,Catmandu::Z3950,0.06,ZOOM,0.01,,
perl:5.34,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.04,,
perl:5.36,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.04,,
perl:5.38,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.04,,
perl:5.40,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.04,,
perl:5.42,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.04,,
perl:5.34,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.01,,
perl:5.36,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.01,,
perl:5.38,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.01,,
perl:5.40,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.01,,
perl:5.42,vary-one,Google::Cloud::Compute::V1::InterconnectAttachmentGroupsClient,0.03,Google::Api::Common,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,1.57,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,1.57,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,1.57,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,1.57,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,1.57,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,0.16,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,0.16,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,0.16,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,0.16,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Log::Log4perl::Appender::Screen,0.16,,
perl:5.34,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,1.0054,,
perl:5.36,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,1.0054,,
perl:5.38,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,1.0054,,
perl:5.40,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,1.0054,,
perl:5.42,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,1.0054,,
perl:5.34,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,0.9000,,
perl:5.36,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,0.9000,,
perl:5.38,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,0.9000,,
perl:5.40,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,0.9000,,
perl:5.42,vary-one,AtteanX::Functions::CompositeMaps::TurtleLexerWithNull,0.039,HTTP::Message::PSGI,0.9000,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Devel::Callsite,v1.0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Devel::Callsite,v1.0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Devel::Callsite,v1.0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Devel::Callsite,v1.0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Devel::Callsite,v1.0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,XS::Framework,v1.6.2,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,XS::Framework,v1.6.2,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,XS::Framework,v1.6.2,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,XS::Framework,v1.6.2,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,XS::Framework,v1.6.2,,
perl:5.34,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.5.5,,
perl:5.36,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.5.5,,
perl:5.38,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.5.5,,
perl:5.40,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.5.5,,
perl:5.42,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.5.5,,
perl:5.34,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.0.1,,
perl:5.36,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.0.1,,
perl:5.38,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.0.1,,
perl:5.40,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.0.1,,
perl:5.42,vary-one,App::BambooCli::Config,v0.0.1,Getopt::Alt,v0.0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Object::Declare,0.25,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Object::Declare,0.25,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Object::Declare,0.25,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Object::Declare,0.25,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Object::Declare,0.25,,
