base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Video::Delay::Array,0.07,Test::NoWarnings,0.01,,
perl:5.36,vary-one,Video::Delay::Array,0.07,Test::NoWarnings,0.01,,
perl:5.38,vary-one,Video::Delay::Array,0.07,Test::NoWarnings,0.01,,
perl:5.40,vary-one,Video::Delay::Array,0.07,Test::NoWarnings,0.01,,
perl:5.42,vary-one,Video::Delay::Array,0.07,Test::NoWarnings,0.01,,
perl:5.34,vary-one,PHP::ParseStr,v0.0.2,Test::Simple,0.01,,
perl:5.36,vary-one,PHP::ParseStr,v0.0.2,Test::Simple,0.01,,
perl:5.38,vary-one,PHP::ParseStr,v0.0.2,Test::Simple,0.01,,
perl:5.40,vary-one,PHP::ParseStr,v0.0.2,Test::Simple,0.01,,
perl:5.42,vary-one,PHP::ParseStr,v0.0.2,Test::Simple,0.01,,
perl:5.34,vary-one,Build::PPK::Deptool::CPAN,0.08,Filesys::POSIX,v0.9.19,,
perl:5.36,vary-one,Build::PPK::Deptool::CPAN,0.08,Filesys::POSIX,v0.9.19,,
perl:5.38,vary-one,Build::PPK::Deptool::CPAN,0.08,Filesys::POSIX,v0.9.19,,
perl:5.40,vary-one,Build::PPK::Deptool::CPAN,0.08,Filesys::POSIX,v0.9.19,,
perl:5.42,vary-one,Build::PPK::Deptool::CPAN,0.08,Filesys::POSIX,v0.9.19,,
perl:5.34,vary-one,Google::Ads::AdWords::v201309::InternalApiError::Reason,v2.15.0,Class::Std::Fast,v0.0.8,,
perl:5.36,vary-one,Google::Ads::AdWords::v201309::InternalApiError::Reason,v2.15.0,Class::Std::Fast,v0.0.8,,
perl:5.38,vary-one,Google::Ads::AdWords::v201309::InternalApiError::Reason,v2.15.0,Class::Std::Fast,v0.0.8,,
perl:5.40,vary-one,Google::Ads::AdWords::v201309::InternalApiError::Reason,v2.15.0,Class::Std::Fast,v0.0.8,,
perl:5.42,vary-one,Google::Ads::AdWords::v201309::InternalApiError::Reason,v2.15.0,Class::Std::Fast,v0.0.8,,
perl:5.34,vary-one,Tie::Redis::List,0.26,IO::Socket::IP,0.01,,
perl:5.36,vary-one,Tie::Redis::List,0.26,IO::Socket::IP,0.01,,
perl:5.38,vary-one,Tie::Redis::List,0.26,IO::Socket::IP,0.01,,
perl:5.40,vary-one,Tie::Redis::List,0.26,IO::Socket::IP,0.01,,
perl:5.42,vary-one,Tie::Redis::List,0.26,IO::Socket::IP,0.01,,
perl:5.34,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,v1.9.1,,
perl:5.36,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,v1.9.1,,
perl:5.38,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,v1.9.1,,
perl:5.40,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,v1.9.1,,
perl:5.42,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,v1.9.1,,
perl:5.34,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,0.1,,
perl:5.36,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,0.1,,
perl:5.38,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,0.1,,
perl:5.40,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,0.1,,
perl:5.42,vary-one,Amazon::SQS::Model::SendMessageResult,v2.0.7,Module::ScanDeps::Static,0.1,,
perl:5.34,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.6.4,,
perl:5.36,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.6.4,,
perl:5.38,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.6.4,,
perl:5.40,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.6.4,,
perl:5.42,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.6.4,,
perl:5.34,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.4.0,,
perl:5.36,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.4.0,,
perl:5.38,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.4.0,,
perl:5.40,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.4.0,,
perl:5.42,vary-one,Lucy::Store::FSFolder,v0.6.2,Clownfish::CFC,v0.4.0,,
perl:5.34,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.9735,,
perl:5.36,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.9735,,
perl:5.38,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.9735,,
perl:5.40,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.9735,,
perl:5.42,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.9735,,
perl:5.34,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.001,,
perl:5.36,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.001,,
perl:5.38,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.001,,
perl:5.40,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.001,,
perl:5.42,vary-one,Bio::AlignIO::selex,v1.7.8,Graph::Directed,0.001,,
perl:5.34,vary-one,perfSONAR_PS::Services::MA::SNMP,0.09,Log::Dispatch::FileRotate,1.02,,
perl:5.36,vary-one,perfSONAR_PS::Services::MA::SNMP,0.09,Log::Dispatch::FileRotate,1.02,,
perl:5.38,vary-one,perfSONAR_PS::Services::MA::SNMP,0.09,Log::Dispatch::FileRotate,1.02,,
perl:5.40,vary-one,perfSONAR_PS::Services::MA::SNMP,0.09,Log::Dispatch::FileRotate,1.02,,
perl:5.42,vary-one,perfSONAR_PS::Services::MA::SNMP,0.09,Log::Dispatch::FileRotate,1.02,,
