base,mode,module,version,dep_one,dep_one_version,dep_two,dep_two_version
perl:5.34,vary-one,Contract::Declare,v1.0.0,JSON::XS,0.1,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,JSON::XS,0.1,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,JSON::XS,0.1,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,JSON::XS,0.1,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,JSON::XS,0.1,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Plack,0.9000,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Plack,0.9000,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Plack,0.9000,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Plack,0.9000,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Plack,0.9000,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Time::Piece,1.00,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Time::Piece,1.00,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Time::Piece,1.00,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Time::Piece,1.00,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Time::Piece,1.00,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.72,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.72,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.72,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.72,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Crypt::SSLeay,0.72,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Bit::Vector,4.0,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Bit::Vector,4.0,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Bit::Vector,4.0,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Bit::Vector,4.0,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Bit::Vector,4.0,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL::RSA,0.08,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL::RSA,0.08,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL::RSA,0.08,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL::RSA,0.08,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Crypt::OpenSSL::RSA,0.08,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Glib,0.24,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Glib,0.24,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Glib,0.24,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Glib,0.24,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Glib,0.24,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,HTTP::Headers,6.00,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,HTTP::Headers,6.00,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,HTTP::Headers,6.00,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,HTTP::Headers,6.00,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,HTTP::Headers,6.00,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,YAML::Syck,0.01,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,YAML::Syck,0.01,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,YAML::Syck,0.01,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,YAML::Syck,0.01,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,YAML::Syck,0.01,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.03,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.03,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.03,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.03,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.03,,
perl:5.34,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.69,,
perl:5.36,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.69,,
perl:5.38,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.69,,
perl:5.40,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.69,,
perl:5.42,vary-one,Contract::Declare,v1.0.0,Alien::wxWidgets,0.69,,
